"","state","CCVI","pct_rural","rep"
"1","AL",96,40.96,62
"2","AK",36,33.98,53
"3","AZ",82,10.19,49
"4","AR",72,43.84,62
"5","CA",90,5.05,34
"6","CO",22,13.85,42
"7","CT",12,12.01,39
"8","DE",28,16.7,40
"9","FL",100,8.84,51
"10","GA",92,24.93,49
"11","HI",16,8.06999999999999,34
"12","ID",30,29.42,64
"13","IL",70,11.51,41
"14","IN",68,27.56,57
"15","IA",40,35.98,53
"16","KS",44,25.8,56
"17","KY",74,41.62,62
"18","LA",78,26.81,59
"19","ME",6,61.34,44
"20","MD",38,12.8,32
"21","MA",34,8.03,32
"22","MI",62,25.43,48
"23","MN",20,26.73,45
"24","MS",88,50.65,58
"25","MO",66,29.56,57
"26","MT",2,44.11,57
"27","NE",14,26.87,58
"28","NV",76,5.8,48
"29","NH",4,39.7,46
"30","NJ",56,5.31999999999999,41
"31","NM",58,22.57,43
"32","NY",86,12.13,38
"33","NC",94,33.91,50
"34","ND",10,40.1,65
"35","OH",60,22.08,53
"36","OK",80,33.76,65
"37","OR",54,18.97,40
"38","PA",50,21.34,49
"39","RI",32,9.27,39
"40","SC",64,33.67,55
"41","SD",24,43.35,62
"42","TN",84,33.61,61
"43","TX",98,15.3,52
"44","UT",26,9.42,58
"45","VT",0,61.1,31
"46","VA",52,24.55,44
"47","WA",48,15.95,39
"48","WV",18,51.28,69
"49","WI",42,29.85,49
"50","WY",8,35.24,70
